RID,原文斷詞,原文出題,原文答案,原文規則,原文出題規則,原文出題答案
216,小亮接著_nrf1 說_v1 ：_w1 「_w2 我_人1 想_v2 這_r1 一_m1 條_q1 線_n1 可以_v3 變成_v4 一_m2 座_q2 城堡_物1,誰說這一條線可以變成城堡?,我,nrf1 + v1 + w1 + w2 + 人1 + v2 + r1 + m1 + q1 + n1 + v3 + v4 + m2 + q2 + 物1,誰 + v1 + r1 + m1 + q1 + n1 + v3 + v4 + 物1,人1
217,小亮接著_nrf1 說_v1 ：_w1 「_w2 我_人1 想_v2 這_r1 一_m1 條_q1 線_n1 可以_v3 變成_v4 一_m2 座_q2 城堡_物1,小亮說這一條線可以變成什麼?,城堡,nrf1 + v1 + w1 + w2 + 人1 + v2 + r1 + m1 + q1 + n1 + v3 + v4 + m2 + q2 + 物1,v1 + r1 + m1 + q1 + n1 + v3 + v4 + 什麼,物1
218,裡面_f1 有_vyou1 大_a1 巨人_物1 ，_w1 也_d1 有_vyou2 小矮人_物2,裡面有什麼?,巨人,f1 + vyou1 + a1 + 物1 + w1 + d1 + vyou2 + 物2,f1 + vyou1 + 什麼,物1
219,他們_人1 一起_d1 玩_v1 遊戲_物1,他們一起做什麼?,遊戲,人1 + d1 + v1 + 物1,人1 + d1 + 什麼,物1
220,最後_f1 小美_人1 說_v1 ：_w1 「_w2 我_r1 想_v2 把_p1 這_r2 一_m1 條_q1 線_物1 變成_v3 一_m2 條_q2 小河_物2,小美說這一條線可以變成什麼?,小河,f1 + 人1 + v1 + w1 + w2 + r1 + v2 + p1 + r2 + m1 + q1 + 物1 + v3 + m2 + q2 + 物2,人1 + v1 + r2 + m1 + q1 + 物1 + v3 + 什麼,物2
221,最後_f1 小美_人1 說_v1 ：_w1 「_w2 我_r1 想_v2 把_p1 這_r2 一_m1 條_q1 線_物1 變成_v3 一_m2 條_q2 小河_物2,誰說這一條線可以變成小河?,小美,f1 + 人1 + v1 + w1 + w2 + r1 + v2 + p1 + r2 + m1 + q1 + 物1 + v3 + m2 + q2 + 物2,誰 + v1 + r2 + m1 + q1 + 物1 + v3 + 物2,人1
222,媽媽_人1 帶_v1 我_人2 和_c1 妹妹_物1 去_v2 拜拜_d1,媽媽帶誰去拜拜?,我,人1 + v1 + 人2 + c1 + 物1 + v2 + d1,人1 + v1 + 誰 + v2 + d1,人2
223,媽媽_人1 帶_v1 我_人2 和_c1 妹妹_物1 去_v2 拜拜_d1,誰帶我去拜拜?,媽媽,人1 + v1 + 人2 + c1 + 物1 + v2 + d1,誰 + v1 + 人2 + v2 + d1,人1
224,媽媽_人1 帶_v1 我_人2 和_c1 妹妹_物1 去_v2 拜拜_d1,誰帶我和妹妹去拜拜?,媽媽,人1 + v1 + 人2 + c1 + 物1 + v2 + d1,誰 + v1 + 人2 + c1 + 物1 + v2 + d1,人1
,,,,,,
226,沒有_v1 人_物1 穿_v2 短褲_物2,沒有人穿什麼?,短褲,v1 + 物1 + v2 + 物2,v1 + 物1 + v2 + 什麼,物2
227,也_d1 沒有_v1 人_物1 穿_v2 拖鞋_物2,也沒有人穿什麼?,拖鞋,d1 + v1 + 物1 + v2 + 物2,d1 + v1 + 物1 + v2 + 什麼,物2
228,進_v1 佛寺_物1 裡_f1 要_v2 脫_v3 鞋子_物2,進佛寺要脫什麼?,鞋子,v1 + 物1 + f1 + v2 + v3 + 物2,v1 + 物1 + v2 + v3 + 什麼,物2
229,大家_人1 光_d1 著_v1 腳_物1 走_v2 進去_v3,大家光著什麼走進去?,腳,人1 + d1 + v1 + 物1 + v2 + v3,人1 + d1 + v1 + 什麼 + v2 + v3,物1
,,,,,,
,,,,,,
232,我_人1 跟_p1 著_v1 大家_r1 雙手_n1 合_v2 掌_物1,我跟著大家做什麼?,掌,人1 + p1 + v1 + r1 + n1 + v2 + 物1,人1 + p1 + v1 + r1 + 什麼,物1
233,希望_v1 佛祖_人1 保護_v2 大家_r1,希望誰保護大家?,佛祖,v1 + 人1 + v2 + r1,v1 + 誰 + v2 + r1,人1
234,大自然_人1 會_v1 說話_v2,誰會說話?,大自然,人1 + v1 + v2,誰 + v1 + v2,人1
235,今天_物1 是_vshi1 晴天_物2,今天是什麼天?,晴天,物1 + vshi1 + 物2,物1 + vshi1 + 什麼,物2
236,要_v1 下雨_v2 了_y1 ，_w1 出門_v3 別_d1 忘_v4 了_y2 帶_v5 把_p1 傘_物1,要下雨了出門別忘記什麼?,傘,v1 + v2 + y1 + w1 + v3 + d1 + v4 + y2 + v5 + p1 + 物1,v1 + v2 + y1 + v3 + d1 + v4 + 什麼,物1
237,當_p1 地上_物1 的_u1 螞蟻_物2 急急忙忙_z1 的_u2 搬家_物3,地上的螞蟻急急忙忙在做什麼?,搬家,p1 + 物1 + u1 + 物2 + z1 + u2 + 物3,物1 + u1 + 物2 + z1 + 什麼,物3
238,你_人1 看到_v1 樹枝_人2 長_v2 出_v3 紅色_物1 或_c1 綠色_物2 的_u1 新_a1 芽_物3,樹枝長出什麼色的新芽?,紅色,人1 + v1 + 人2 + v2 + v3 + 物1 + c1 + 物2 + u1 + a1 + 物3,人2 + v2 + v3 + 什麼 + u1 + a1 + 物3,物1
239,或是_c1 池塘_物1 裡_f1 的_u1 青蛙_物2,池塘裡的什麼?,青蛙,c1 + 物1 + f1 + u1 + 物2,物1 + f1 + u1 + 什麼,物2
240,一圈圈_m1 的_u1 年輪_物1 ，_w1 告訴_v1 你_人1 樹_n1 有_vyou1 多少_r1 年紀_物2 了_y1,一圈圈的年輪告訴你什麼?,年紀,m1 + u1 + 物1 + w1 + v1 + 人1 + n1 + vyou1 + r1 + 物2 + y1,m1 + u1 + 物1 + v1 + 人1 + 什麼,物2
241,秋天_時1 來_v1 了_y1,什麼天來了?,秋天,時1 + v1 + y1,什麼 + v1 + y1,時1
,,,,,,
243,喜歡_v1 學習_v2 的_u1 人_物1 ，_w1 認真_a1 觀察_v3 的_u2 人_物2 ，_w2 隨時_d1 可以_v4 從_p1 大自然_物3 的_u3 變化_物4 中_f1 ，_w3 學_v5 到_v6 知識_物5,喜歡什麼的人隨時可以從大自然變化學到知識?,人,v1 + v2 + u1 + 物1 + w1 + a1 + v3 + u2 + 物2 + w2 + d1 + v4 + p1 + 物3 + u3 + 物4 + f1 + w3 + v5 + v6 + 物5,v1 + 什麼 + u1 + 物1 + d1 + v4 + p1 + 物3 + 物4 + v5 + v6 + 物5,物2
244,清明節_物1 早上_物2,什麼節日早上?,清明節,物1 + 物2,什麼 + 物2,物1
245,天上_s1 飄_v1 著_v2 小雨_物1,天上飄著什麼?,小雨,s1 + v1 + v2 + 物1,s1 + v1 + v2 + 什麼,物1
246,媽媽_人1 和_c1 姑姑_人2 趕忙_d1 拿_v1 出_v2 鮮花_物1 、_w1 水果_物2 等_u1 祭品_物3,媽媽和姑姑拿出什麼祭品?,鮮花,人1 + c1 + 人2 + d1 + v1 + v2 + 物1 + w1 + 物2 + u1 + 物3,人1 + c1 + 人2 + v1 + v2 + 什麼 + 物3,物1
247,媽媽_人1 和_c1 姑姑_人2 趕忙_d1 拿_v1 出_v2 鮮花_物1 、_w1 水果_物2 等_u1 祭品_物3,誰拿出來鮮花和水果?,媽媽,人1 + c1 + 人2 + d1 + v1 + v2 + 物1 + w1 + 物2 + u1 + 物3,誰 + v1 + v2 + 物1 + c1 + 物2,人1
248,爸爸_人1 和_c1 小_a1 叔叔_人2 拿_v1 著_v2 剪刀_物1 修剪_v3 花木_物2,爸爸和叔叔拿著什麼修剪花木?,剪刀,人1 + c1 + a1 + 人2 + v1 + v2 + 物1 + v3 + 物2,人1 + c1 + 人2 + v1 + v2 + 什麼 + v3 + 物2,物1
249,爸爸_人1 和_c1 小_a1 叔叔_人2 拿_v1 著_v2 剪刀_物1 修剪_v3 花木_物2,拿著剪刀要做什麼?,花木,人1 + c1 + a1 + 人2 + v1 + v2 + 物1 + v3 + 物2,v1 + v2 + 物1 + 什麼,物2
250,爸爸_人1 和_c1 小_a1 叔叔_人2 拿_v1 著_v2 剪刀_物1 修剪_v3 花木_物2,誰修剪花木?,爸爸,人1 + c1 + a1 + 人2 + v1 + v2 + 物1 + v3 + 物2,誰 + v3 + 物2,人1
251,我_人1 和_c1 表姐_人2 跟_v1 在_p1 一旁_f1 撿_v2 樹枝_物1 、_w1 掃_v3 落葉_物2,我和表姊在一旁做什麼?,樹枝,人1 + c1 + 人2 + v1 + p1 + f1 + v2 + 物1 + w1 + v3 + 物2,人1 + c1 + p1 + f1 + 什麼,物1
252,我_人1 和_c1 表姐_人2 跟_v1 在_p1 一旁_f1 撿_v2 樹枝_物1 、_w1 掃_v3 落葉_物2,誰撿樹枝、掃落葉?,我,人1 + c1 + 人2 + v1 + p1 + f1 + v2 + 物1 + w1 + v3 + 物2,誰 + v2 + 物1 + w1 + v3 + 物2,人1
253,一邊_d1 拔_v1 草_物1 ，_w1 一邊_d2 玩_v2 泥土_物2,一邊拔草一邊玩什麼?,泥土,d1 + v1 + 物1 + w1 + d2 + v2 + 物2,d1 + v1 + 物1 + d1 + v2 + 什麼,物2
254,最後_f1 抹_v1 了_y1 一_m1 臉_q1 的_u1 泥_物1,抹了一臉的什麼?,泥,f1 + v1 + y1 + m1 + q1 + u1 + 物1,v1 + y1 + m1 + q1 + u1 + 什麼,物1
,,,,,,
256,爸爸_人1 舉起_v1 香_物1,誰舉起香?,爸爸,人1 + v1 + 物1,誰 + v1 + 物1,人1
257,接_v1 著_v2 大家_人1 依_p1 長幼_物1 順序_物2 ，_w1 很_d1 恭敬_a1 的_u1 在_p2 爺爺_物3 、_w2 奶奶_物4 的_u2 墓_物5 前_f1 鞠躬_v3,依什麼在墓前鞠躬?,長幼,v1 + v2 + 人1 + p1 + 物1 + 物2 + w1 + d1 + a1 + u1 + p2 + 物3 + w2 + 物4 + u2 + 物5 + f1 + v3,p1 + 什麼 + p2 + 物5 + f1 + v3,物1
258,我_人1 和_c1 表姐_物1 、_w1 堂弟_物2 坐_v1 在_p1 墓_物3 前_f1,誰坐在墓前?,我,人1 + c1 + 物1 + w1 + 物2 + v1 + p1 + 物3 + f1,誰 + v1 + p1 + 物3 + f1,人1
259,聽_v1 大人_人1 談_v2 著_v3 爺爺_物1 、_w1 奶奶_物2 生前_t1 的_u1 故事_物3,談著誰生前的故事?,大人,v1 + 人1 + v2 + v3 + 物1 + w1 + 物2 + t1 + u1 + 物3,v2 + v3 + 誰 + t1 + u1 + 物3,人1
260,抬_v1 眼_物1 一_d1 望_v2 ，_w1 遠_a1 山_物2 青翠_a2 的_u1 綠色_物3 ，_w2 被_p1 春雨_物4 洗_v3 得_u2 更_d2 鮮明_a3,山被什麼洗得更鮮明?,眼,v1 + 物1 + d1 + v2 + w1 + a1 + 物2 + a2 + u1 + 物3 + w2 + p1 + 物4 + v3 + u2 + d2 + a3,物2 + p1 + 什麼 + v3 + u2 + d2 + a3,物1
,,,,,,
262,告訴_v1 我_人1 ，_w1 你_人2 有_vyou1 什麼_人3 困難_a1 ，_w2 讓_v2 我_人4 來_v3 幫助_v4 你_r1,告訴我你有什麼讓我來幫助你?,我,v1 + 人1 + w1 + 人2 + vyou1 + 人3 + a1 + w2 + v2 + 人4 + v3 + v4 + r1,v1 + 人1 + 人1 + 人2 + 人2 + vyou1 + 人3 + v2 + 誰 + v3 + v4,人4
,,,,,,
264,不管_c1 困難_a1 有_vyou1 多_d1 大_a2 ，_w1 我_人1 都_d2 必須_d3 勇往直前_v1,不管困難有多大都必須?,我,c1 + a1 + vyou1 + d1 + a2 + w1 + 人1 + d2 + d3 + v1,c1 + a1 + vyou1 + d1 + a2 + 誰 + d2 + d3,人1
,,,,,,
266,讓_v1 他_人1 信心_n1 滿滿_d1 度過_v2 每_r1 一個_m1 難關_物1,信心滿滿度過每一個什麼?,難關,v1 + 人1 + n1 + d1 + v2 + r1 + m1 + 物1,n1 + d1 + v2 + r1 + m1 + 什麼,物1
267,這_人1 句_q1 話_物1 ，_w1 使_v1 我_人2 認識_v2 互助_v3 的_u1 力量_n1 這_r1 句_q2 話_物2 ，_w2 使_v4 我_人3 認識_v5 互助_v6 的_u2 力量_物3 ，_w3 朋友_物4 的_u3 可貴_a1,這句話使我認識什麼的力量?,話,人1 + q1 + 物1 + w1 + v1 + 人2 + v2 + v3 + u1 + n1 + r1 + q2 + 物2 + w2 + v4 + 人3 + v5 + v6 + u2 + 物3 + w3 + 物4 + u3 + a1,人1 + q1 + 物1 + v1 + 人2 + v2 + 什麼 + u1 + n1,物2
268,很_d1 久_a1 以前_f1 ，_w1 我們_人1 的_u1 世界_物1 是_vshi1 天地_物2 連_v1 在_p1 一起_物3 的_u2,很久以前我們的世界是什麼樣的?,天地,d1 + a1 + f1 + w1 + 人1 + u1 + 物1 + vshi1 + 物2 + v1 + p1 + 物3 + u2,d1 + a1 + f1 + 人1 + u1 + 物1 + vshi1 + 什麼 + u1,物2
269,當時_時1 有_vyou1 一個_m1 巨人_人1 名叫_v1 盤古_人2,巨人名叫什麼?,當時,時1 + vyou1 + m1 + 人1 + v1 + 人2,人1 + v1 + 什麼,時1
270,他_人1 受不了_a1 沒_v1 天_物1 沒_v2 地_物2 的_u1 情形_物3,他受不了什麼情形?,天,人1 + a1 + v1 + 物1 + v2 + 物2 + u1 + 物3,人1 + a1 + 什麼 + 物3,物1
271,就_d1 拿_v1 起_v2 一_m1 把_q1 大_a1 斧頭_物1,拿起一把什麼?,斧頭,d1 + v1 + v2 + m1 + q1 + a1 + 物1,v1 + v2 + m1 + q1 + 什麼,物1
272,上面_f1 那_人1 一半_m1 就_d1 成_v1 了_y1 天_物1,上面那一半成了什麼?,天,f1 + 人1 + m1 + d1 + v1 + y1 + 物1,f1 + 人1 + m1 + v1 + y1 + 什麼,物1
273,下面_f1 那_人1 一半_m1 就_d1 成_v1 了_y1 地_物1,下面那一半成了什麼?,地,f1 + 人1 + m1 + d1 + v1 + y1 + 物1,f1 + 人1 + m1 + v1 + y1 + 什麼,物1
274,他_人1 想_v1 以後_f1 就_d1 有_vyou1 好日子_物1 過_v2 了_y1,他想以後有什麼日子過了?,好日子,人1 + v1 + f1 + d1 + vyou1 + 物1 + v2 + y1,人1 + v1 + f1 + vyou1 + 什麼 + v2 + y1,物1
,,,,,,
276,盤古_人1 死_v1 了_y1 以後_f1 ，_w1 他_人2 的_u1 眼睛_人3 變成_v2 了_y2 太陽_物1 和_c1 月亮_物2,盤古死了以後，他的眼睛變成?,太陽,人1 + v1 + y1 + f1 + w1 + 人2 + u1 + 人3 + v2 + y2 + 物1 + c1 + 物2,人1 + v1 + y1 + f1 + w1 + 人2 + u1 + 人3 + v2 + 什麼,物1
277,他_人1 的_u1 身體_物1 變成_v1 山脈_物2,他的身體變成?,山脈,人1 + u1 + 物1 + v1 + 物2,人1 + u1 + 物1 + v1 + 什麼,物2
278,身上_s1 的_u1 血_物1 變成_v1 了_y1 河流_物2,身上的血變成?,河流,s1 + u1 + 物1 + v1 + y1 + 物2,s1 + u1 + 物1 + v1 + 什麼,物2
279,他_人1 的_u1 毛髮_物1 變成_v1 了_y1 樹木_物2,他的毛髮變成?,樹木,人1 + u1 + 物1 + v1 + y1 + 物2,人1 + u1 + 物1 + v1 + 什麼,物2
280,骨頭_人1 變成_v1 石頭_物1,骨頭變成?,石頭,人1 + v1 + 物1,人1 + v1 + 什麼,物1
281,老虎_人1 是_vshi1 森林_物1 裡_f1 最_d1 凶猛_a1 的_u1 動物_物2,誰是森林裡最兇猛的動物?,老虎,人1 + vshi1 + 物1 + f1 + d1 + a1 + u1 + 物2,誰 + vshi1 + 物1 + f1 + d1 + u1 + 物2,人1
282,他_人1 一向_d1 是_vshi1 拿_v1 其他_人2 的_u1 動物_物1 當_v2 餐點_物2 的_u2,他一向是拿什麼當餐點?,動物,人1 + d1 + vshi1 + v1 + 人2 + u1 + 物1 + v2 + 物2 + u2,人1 + d1 + vshi1 + v1 + 什麼 + v2 + 物2,物1
283,狐狸_人1 大_d1 喝_v1 一_m1 聲_q1 ：_w1 「_w2 好_d2 大_a1 的_u1 膽子_物1 ！_w3 你_人2 敢_v2 吃_v3 我_r1 ？_w4,誰大喝一聲?,狐狸,人1 + d1 + v1 + m1 + q1 + w1 + w2 + d2 + a1 + u1 + 物1 + w3 + 人2 + v2 + v3 + r1 + w4,誰 + d1 + v1 + m1 + q1,人1
284,老虎_人1 聽到_v1 狐狸_人2 的_u1 聲音_物1 嚇_v2 了_y1 一_m1 跳_v3,老虎聽到誰的聲音嚇了一跳?,狐狸,人1 + v1 + 人2 + u1 + 物1 + v2 + y1 + m1 + v3,人1 + v1 + 誰 + u1 + 物1 + v2 + y1 + m1 + v3,人2
285,狐狸_人1 說_v1 ：_w1 「_w2 天帝派_n1 我_r1 來_v2 當_v3 森林_物1 之_u1 王_物2,天帝派誰當森林之王?,狐狸,人1 + v1 + w1 + w2 + n1 + r1 + v2 + v3 + 物1 + u1 + 物2,n1 + 誰 + v3 + 物1 + u1 + 物2,人1
286,你_人1 吃_v1 了_y1 我_r1 ，_w1 就_d1 是_vshi1 不_d2 聽_v2 天帝_物1 的_u1 話_物2,吃了我就是不聽誰的話?,你,人1 + v1 + y1 + r1 + w1 + d1 + vshi1 + d2 + v2 + 物1 + u1 + 物2,v1 + y1 + r1 + d1 + vshi1 + d2 + v2 + 誰 + u1 + 物2,人1
287,我_人1 走_v1 在_p1 前面_f1 ，_w1 你_人2 跟_v2 在_p2 我_r1 後面_f2,誰走在前面?,我,人1 + v1 + p1 + f1 + w1 + 人2 + v2 + p2 + r1 + f2,誰 + v1 + p1 + f1,人1
288,我_人1 走_v1 在_p1 前面_f1 ，_w1 你_人2 跟_v2 在_p2 我_r1 後面_f2,誰走在後面?,我,人1 + v1 + p1 + f1 + w1 + 人2 + v2 + p2 + r1 + f2,誰 + v1 + p1 + f2,人1
289,你_人1 仔細_a1 看_v1 ，_w1 森林_物1 裡_f1 的_u1 動物_物2 ，_w2 哪_人2 一個_m1 見_v2 了_y1 我_r1 ，_w3 膽敢_v3 不_d1 逃_v4 命_物3 的_u2 ？_w4,森林裡的動物見了誰膽敢不逃命的?,哪,人1 + a1 + v1 + w1 + 物1 + f1 + u1 + 物2 + w2 + 人2 + m1 + v2 + y1 + r1 + w3 + v3 + d1 + v4 + 物3 + u2 + w4,物1 + f1 + u1 + 物2 + v2 + y1 + 誰 + v3 + d1 + v4 + 物3 + u1,人2
290,老虎_人1 心想_v1 狐狸_人2 說_v2 的_u1 也許_d1 有_vyou1 道理_物1,老虎心想狐狸說的也許有?,道理,人1 + v1 + 人2 + v2 + u1 + d1 + vyou1 + 物1,人1 + v1 + 人2 + v2 + u1 + d1 + vyou1 + 什麼,物1
291,於是_c1 老虎_人1 跟_v1 在_p1 狐狸_物1 的_u1 後面_f1 走_v2,誰跟在狐狸的後面走?,老虎,c1 + 人1 + v1 + p1 + 物1 + u1 + f1 + v2,誰 + v1 + p1 + 物1 + u1 + f1 + v2,人1
292,山羊_人1 很_d1 想_v1 當_v2 科學家_物1,山羊很想當什麼?,科學家,人1 + d1 + v1 + v2 + 物1,人1 + d1 + v1 + v2 + 什麼,物1
293,山羊_人1 很_d1 想_v1 當_v2 科學家_物1,誰很想當科學家?,山羊,人1 + d1 + v1 + v2 + 物1,誰 + d1 + v1 + v2 + 物1,人1
,,,,,,
295,還_d1 把_p1 看到_v1 的_u1 大海_物1 詳細_a1 的_u2 寫_v2 下來_v3,把看到的什麼詳細的寫下來?,大海,d1 + p1 + v1 + u1 + 物1 + a1 + u2 + v2 + v3,p1 + v1 + u1 + 什麼 + a1 + u1 + v2 + v3,物1
296,他_人1 寫_v1 海_物1 的_u1 顏色_物2 海_物3 的_u2 樣子_物4 ，_w1 海鳥_人2 在_p1 海上_s1 飛翔_v2 的_u3 情形_物5,他寫誰在飛翔的情形?,海鳥,人1 + v1 + 物1 + u1 + 物2 + 物3 + u2 + 物4 + w1 + 人2 + p1 + s1 + v2 + u3 + 物5,人1 + v1 + 誰 + p1 + v2 + u1 + 物5,人2
297,山羊_人1 寫_v1 了_y1 厚厚的_z1 一_m1 本_q1 書_物1,山羊寫了什麼?,書,人1 + v1 + y1 + z1 + m1 + q1 + 物1,人1 + v1 + y1 + 什麼,物1
298,他_人1 很_d1 高興_a1 的_u1 對_p1 著_v1 海洋_人2 說_v2 ：_w1 「_w2 我_r1 是_vshi1 個_q1 海洋_物1 專家_物2 了_y1 ！_w3 」_w4,我是個什麼專家?,海洋,人1 + d1 + a1 + u1 + p1 + v1 + 人2 + v2 + w1 + w2 + r1 + vshi1 + q1 + 物1 + 物2 + y1 + w3 + w4,r1 + vshi1 + q1 + 什麼 + 物2,物1
299,正當_p1 山羊_物1 興奮_a1 的_u1 時候_物2 ，_w1 海裡_s1 的_u2 大魚_物3 游_v1 上來_v2,正當山羊興奮得時候，海裡的什麼游上來?,大魚,p1 + 物1 + a1 + u1 + 物2 + w1 + s1 + u2 + 物3 + v1 + v2,p1 + 物1 + a1 + 物2 + w1 + s1 + u1 + 什麼 + v1 + v2,物3
300,但是_c1 你_人1 只是_d1 看到_v1 海_物1 的_u1 外表_物2 ，_w1 這樣_人2 不_d2 能_v2 成為_v3 海洋_物3 專家_n1 的_u2,只是看到海洋的什麼?,外表,c1 + 人1 + d1 + v1 + 物1 + u1 + 物2 + w1 + 人2 + d2 + v2 + v3 + 物3 + n1 + u2,d1 + v1 + 物1 + u1 + 什麼,物2
301,去_v1 了解_v2 海裡物_物1 的_u1 活動_物2,去海裡了解什麼的活動?,海裡物,v1 + v2 + 物1 + u1 + 物2,v1 + v2 + 什麼 + u1 + 物2,物1
,,,,,,
303,決定_v1 請_v2 大魚_人1 和_c1 他_人2 一起_d1 合作_v3,請誰和他一起合作?,大魚,v1 + v2 + 人1 + c1 + 人2 + d1 + v3,v2 + 誰 + c1 + 人2 + d1 + v3,人1
304,後來_人1 山羊_人2 和_c1 大魚_物1 一起_d1 討論_v1,山羊和誰一起討論?,後來,人1 + 人2 + c1 + 物1 + d1 + v1,人2 + c1 + 誰 + d1 + v1,人1
305,還_d1 把_p1 大魚_人1 告訴_v1 他_人2 的_u1 事情_物1 都_d2 寫_v2 進_v3 書_物2 裡_f1,把誰告訴他的事情都寫進書裡?,大魚,d1 + p1 + 人1 + v1 + 人2 + u1 + 物1 + d2 + v2 + v3 + 物2 + f1,p1 + 誰 + v1 + 人2 + u1 + 物1 + d2 + v2 + v3 + 物2 + f1,人1
306,山羊_人1 就_d1 寫_v1 成_v2 了_y1 一_m1 本_q1 很_d2 有用_a1 的_u1 「_w1 海洋_物1 研究_n1 」_w2 了_y2,山羊寫成了一本什麼書?,海洋,人1 + d1 + v1 + v2 + y1 + m1 + q1 + d2 + a1 + u1 + w1 + 物1 + n1 + w2 + y2,人1 + v1 + v2 + y1 + m1 + q1 + 什麼,物1
307,鬍子_物1 起來_v1,什麼翹起來?,鬍子,物1 + v1,什麼 + v1,物1
308,老鼠_人1 看到_v1 貓_物1 ，_w1 驚嚇_v2 得_u1 躲_v3 了_y1 起來_v4 。_w2,誰看到貓，驚嚇得躲了起來?,老鼠,人1 + v1 + 物1 + w1 + v2 + u1 + v3 + y1 + v4 + w2,誰 + v1 + 物1 + w1 + v2 + u1 + v3 + y1 + v4,人1
309,隱士_人1 看_v1 老鼠_物1 可憐_v2 ，_w1 就_d1 把_p1 老鼠_物2 變成_v3 了_y1 大_a1 貓_物3 。_w2,誰看老鼠可憐，就把老鼠變成了大貓?,隱士,人1 + v1 + 物1 + v2 + w1 + d1 + p1 + 物2 + v3 + y1 + a1 + 物3 + w2,誰 + v1 + 物1 + v2 + w1 + d1 + p1 + 物1 + v3 + y1 + a1 + 物3,人1
310,隱士_人1 很_d1 不_d2 忍心_v1 ，_w1 又_d3 把_p1 大_a1 貓_物1 變_v2 成_v3 黃_a2 狗_物2 。_w2,誰很不忍心，又把大貓變成黃狗?,隱士,人1 + d1 + d2 + v1 + w1 + d3 + p1 + a1 + 物1 + v2 + v3 + a2 + 物2 + w2,誰 + d1 + d2 + v1 + w1 + d3 + p1 + a1 + 物1 + v2 + v3 + a2 + 物2,人1
311,隱士_人1 看見_v1 了_y1 ，_w1 又_d1 趕忙_d2 把_p1 大_a1 黃狗_物1 變成_v2 老虎_物2,誰看見了，又趕忙把大黃狗變成老虎?,隱士,人1 + v1 + y1 + w1 + d1 + d2 + p1 + a1 + 物1 + v2 + 物2,誰 + v1 + y1 + w1 + d1 + d2 + p1 + a1 + 物1 + v2 + 物2,人1
312,大_a1 老虎_人1 狠狠_d1 的_u1 瞪_v1 了_y1 隱士_物1 ，_w1 好_a2 像_人2 要_v2 把_p1 隱士_人3 一_m1 口_q1 吞_v3 下去_v4 的_u2 樣子_物2 。_w2,誰狠狠的瞪了隱士，好像要把隱士一口吞下去的樣子?,老虎,a1 + 人1 + d1 + u1 + v1 + y1 + 物1 + w1 + a2 + 人2 + v2 + p1 + 人3 + m1 + q1 + v3 + v4 + u2 + 物2 + w2,誰 + d1 + u1 + v1 + y1 + 物1 + w1 + a2 + 人2 + v2 + p1 + 物1 + m1 + q1 + v3 + v4 + u1 + 物2,人1
313,大_a1 老虎_人1 狠狠_d1 的_u1 瞪_v1 了_y1 隱士_物1 ，_w1 好_a2 像_人2 要_v2 把_p1 隱士_人3 一_m1 口_q1 吞_v3 下去_v4 的_u2 樣子_物2 。_w2,大老虎狠狠的瞪了誰，好像要把隱士一口吞下去的樣子?,隱士,a1 + 人1 + d1 + u1 + v1 + y1 + 物1 + w1 + a2 + 人2 + v2 + p1 + 人3 + m1 + q1 + v3 + v4 + u2 + 物2 + w2,a1 + 人1 + d1 + u1 + v1 + y1 + 誰 + w1 + a2 + 人2 + v2 + p1 + 物1 + m1 + q1 + v3 + v4 + u1 + 物2,人3
314,大_a1 老虎_人1 狠狠_d1 的_u1 瞪_v1 了_y1 隱士_物1 ，_w1 好_a2 像_人2 要_v2 把_p1 隱士_人3 一_m1 口_q1 吞_v3 下去_v4 的_u2 樣子_物2 。_w2,大老虎狠狠的瞪了隱士，好像要把誰一口吞下去的樣子?,隱士,a1 + 人1 + d1 + u1 + v1 + y1 + 物1 + w1 + a2 + 人2 + v2 + p1 + 人3 + m1 + q1 + v3 + v4 + u2 + 物2 + w2,a1 + 人1 + d1 + u1 + v1 + y1 + 物1 + w1 + a2 + 人2 + v2 + p1 + 誰 + m1 + q1 + v3 + v4 + u1 + 物2,人3
315,隱士_人1 長長的_z1 嘆_v1 了_y1 一_m1 口_q1 氣_物1 ，_w1 伸_v2 出手_v3 指頭_物2 向_p1 老虎_物3 一_d1 指_v4 ，_w2 又_d2 把_p2 大_a1 老虎_人2 變成_v5 了_y2 原來_b1 的_u1 那_r1 隻_q2 小_a2 老鼠_物4 。_w3,誰長長的嘆了一口氣，伸出手指頭向老虎一隻，又把大老虎變了原來那隻小老鼠?,隱士,人1 + z1 + v1 + y1 + m1 + q1 + 物1 + w1 + v2 + v3 + 物2 + p1 + 物3 + d1 + v4 + w2 + d2 + p2 + a1 + 人2 + v5 + y2 + b1 + u1 + r1 + q2 + a2 + 物4 + w3,誰 + z1 + v1 + y1 + m1 + q1 + 物1 + w1 + v2 + v3 + 物2 + p1 + 物3 + m1 + q2 + w1 + d2 + p2 + a1 + 物3 + y1 + b1 + r1 + q2 + a2 + 物4,人1
